Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
WRBritain CoveyLAR,Britain Covey,WR,"$1,100,000 ",Los Angeles Rams,WR,LAR,8
RBBritish BrooksHOU,British Brooks,RB,"$965,000 ",Houston Texans,RB,HOU,6
TEBrock BowersLV,Brock Bowers,TE,"$4,122,451 ",Las Vegas Raiders,TE,LV,8
QBBrock PurdySF,Brock Purdy,QB,"$9,119,253 ",San Francisco 49ers,QB,SF,14
TEBrock WrightDET,Brock Wright,TE,"$2,629,000 ",Detroit Lions,TE,DET,8
DLBroderick WashingtonBAL,Broderick Washington,DT,"$4,600,000 ",Baltimore Ravens,DL,BAL,7
DLBrodric MartinDET,Brodric Martin,DT,"$1,446,569 ",Detroit Lions,DL,DET,8
DBBruce HarmonDAL,Bruce Harmon,S,"$841,666 ",Dallas Cowboys,DB,DAL,10
PBryan AngerDAL,Bryan Anger,P,"$2,300,000 ",Dallas Cowboys,P,DAL,10
DLBryan BreseeNO,Bryan Bresee,DT,"$3,344,607 ",New Orleans Saints,DL,NO,11
DBBryan CookKC,Bryan Cook,FS,"$1,860,453 ",Kansas City Chiefs,DB,KC,10
PBryce BaringerNE,Bryce Baringer,P,"$1,074,614 ",New England Patriots,P,NE,14
DBBryce HallTB,Bryce Hall,CB,"$1,030,000 ",Tampa Bay Buccaneers,DB,TB,9
LBBryce HuffSF,Bryce Huff,OLB,"$7,950,000 ",San Francisco 49ers,LB,SF,14
WRBryce OliverTEN,Bryce Oliver,WR,"$960,000 ",Tennessee Titans,WR,TEN,10
TEBryce PierreCAR,Bryce Pierre,TE,"$843,333 ",Carolina Panthers,TE,CAR,14
QBBryce YoungCAR,Bryce Young,QB,"$10,351,383 ",Carolina Panthers,QB,CAR,14
DLBryceNE,Bryce,DT,"$840,000 ",New England Patriots,DL,NE,14
WRBryson GreenARI,Bryson Green,WR,"$850,000 ",Arizona Cardinals,WR,ARI,8
TEBryson NesbitMIN,Bryson Nesbit,TE,"$841,666 ",Minnesota Vikings,TE,MIN,6
WRBub MeansNO,Bub Means,WR,"$1,023,569 ",New Orleans Saints,WR,NO,11
