Player,Pos,Attempts,Comps,Pass Yards,Pass TDs,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections,Actuals,Rank
Harold Fannin,TE,,,,,,4.05,40.73,0.27,0.46,,0.02,9.82,0,128
Jake Ferguson,TE,,,,,,3.74,35.89,0.41,,,0.03,9.81,0,129
Evan Engram,TE,,,,,,3.84,35.69,0.39,,,0.02,9.75,0,130
Romeo Doubs,WR,,,,,,3.44,40.5,0.38,,,0.03,9.74,0,131
Dylan Sampson,RB,,,,,,1.93,16.15,,41.02,0.35,0.06,9.72,0,132
Chig Okonkwo,TE,,,,,,3.89,39.95,0.29,0.26,,0.03,9.64,0,133
Kayshon Boutte,WR,,,,,,3.31,45.44,0.28,0.25,,0.02,9.55,0,134
Elic Ayomanor,WR,,,,,,3.51,41.48,0.29,0.84,,0.02,9.5,0,135
Josh Downs,WR,,,,,,3.64,41.92,0.24,0.76,,0.02,9.37,0,136
Dalton Schultz,TE,,,,,,3.58,35.68,0.37,,,0.04,9.35,0,137
Darnell Mooney,WR,,,,,,3.09,44.23,0.3,0.26,,0.02,9.34,0,138
Adam Thielen,WR,,,,,,3.52,41.94,0.26,0.13,,0.04,9.29,0,139
Trey Benson,RB,,,,,,1.37,11.76,,45.61,0.35,0.06,9.22,0,140
Marvin Mims,WR,,,,,,3.03,40.4,0.31,2.16,,0.05,9.12,0,141
Kenneth Gainwell,RB,,,,,,2.09,13.37,,33.83,0.38,0.06,9.1,0,142
Dalton Kincaid,TE,,,,,,3.41,31.85,0.41,,,0.03,9.08,0,143
Kyle Pitts,TE,,,,,,3.28,41.41,0.27,,,0.02,9.03,0,144
Brenton Strange,TE,,,,,,3.56,36.66,0.3,,,0.02,9.02,0,145
Matthew Golden,WR,,,,,,3.14,35.5,0.36,1.64,,0.02,9.01,0,146
Quentin Johnston,WR,,,,,,2.87,38.47,0.37,0.61,,0.05,8.98,0,147
Hunter Henry,TE,,,,,,3.55,32.5,0.36,,,0.03,8.97,0,148
Zach Ertz,TE,,,,,,3.55,32.5,0.36,,,0.02,8.95,0,149
Xavier Legette,WR,,,,,,3.38,35.5,0.32,1.12,,0.03,8.93,0,150
RJ Harvey,RB,,,,,,1.22,10.57,,35.86,0.5,0.04,8.86,0,151
Rashod Bateman,WR,,,,,,2.58,37.46,0.41,,,0.02,8.8,0,152
Ja'Tavion Sanders,TE,,,,,,3.31,33.37,0.35,,,0.02,8.74,0,153
DeMario Douglas,WR,,,,,,3.31,37.08,0.24,2.81,,0.02,8.73,0,154
Kareem Hunt,RB,,,,,,1.98,11.97,,31.06,0.39,0.06,8.62,0,155
Juwan Johnson,TE,,,,,,3.46,36.5,,,,0.02,8.61,0,156
Joshua Palmer,WR,,,,,,2.95,40.86,0.25,,,0.02,8.54,0,157
Rhamondre Stevenson,RB,,,,,,0.8,4.77,,39.5,0.55,0.06,8.51,0,158
Jonnu Smith,TE,,,,,,3.43,35.1,0.25,0.3,,0.03,8.47,0,159
Jacory Croskey-Merritt,RB,,,,,,1.08,9.4,,40.5,0.35,0.07,8.14,0,160
JuJu Smith-Schuster,WR,,,,,,2.88,31.43,0.34,,,0.01,8.09,0,161
Ray-Ray McCloud,WR,,,,,,2.72,30.35,0.29,3.22,,0.09,7.84,0,162
Mike Gesicki,TE,,,,,,2.68,30.29,0.34,,,0.02,7.77,0,163
Cole Kmet,TE,,,,,,3.23,33.99,0.19,,,0.05,7.75,0,164
Cade Otton,TE,,,,,,2.99,30.31,0.29,,,0.02,7.75,0,165
Dont'e Thornton,WR,,,,,,2.52,30.03,0.35,0.25,,0.01,7.66,0,166
Troy Franklin,WR,,,,,,2.44,28.8,0.37,0.38,,0.01,7.56,0,167
Mason Taylor,TE,,,,,,2.84,28.78,0.29,0.01,,0.01,7.44,0,168
Dyami Brown,WR,,,,,,2.29,31.05,0.29,0.53,,0.01,7.17,0,169
Tyler Higbee,TE,,,,,,2.61,23.5,0.36,,,0.01,7.13,0,170
Alec Pierce,WR,,,,,,2.17,37.89,0.19,,,0.01,7.07,0,171
Theo Johnson,TE,,,,,,2.51,27.89,0.28,,,0.01,6.99,0,172
Pat Freiermuth,TE,,,,,,2.69,26.69,0.27,,,0.02,6.96,0,173
Colston Loveland,TE,,,,,,2.52,26.2,0.29,0.02,,0.02,6.91,0,174
AJ Barner,TE,,,,,,2.83,26.3,0.24,,,0.01,6.88,0,175
Jerome Ford,RB,,,,,,1.66,11.61,,21.21,0.32,0.04,6.83,0,176
Tre Tucker,WR,,,,,,1.87,25.88,0.36,1.3,,0.01,6.72,0,177
Darius Slayton,WR,,,,,,1.87,30.84,0.29,0.1,,0.01,6.69,0,178
Bhayshul Tuten,RB,,,,,,0.91,8.16,,26.81,0.37,0.03,6.62,0,179
Najee Harris,RB,,,,,,0.75,4.75,,26.26,0.44,0.05,6.52,0,180
Noah Fant,TE,,,,,,2.37,25.67,0.25,,,0.01,6.44,0,181
Michael Wilson,WR,,,,,,2.6,23.5,0.24,0.29,,0.01,6.44,0,182
